census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Mayo,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,0 to 17 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2016,Mayo,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),0 to 17 years (%),0 to 5 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2016,Mayo,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,18 to 64 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2016,Mayo,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,65 years and over (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2016,Moosehide Creek 2,,,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,0 to 17 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,0 to 17 years,0 to 5 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,18 to 64 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,65 years and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,,,In low income based on the Low-income measure; after tax (LIM-AT),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income measure; after tax (LIM-AT),,0 to 17 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income measure; after tax (LIM-AT),0 to 17 years,0 to 5 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income measure; after tax (LIM-AT),,18 to 64 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income measure; after tax (LIM-AT),,65 years and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,,,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,0 to 17 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),0 to 17 years (%),0 to 5 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,18 to 64 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,65 years and over (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,,,In low income based on the Low-income cut-offs; after tax (LICO-AT),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income cut-offs; after tax (LICO-AT),,0 to 17 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income cut-offs; after tax (LICO-AT),0 to 17 years,0 to 5 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income cut-offs; after tax (LICO-AT),,18 to 64 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,In low income based on the Low-income cut-offs; after tax (LICO-AT),,65 years and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,,,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,0 to 17 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),0 to 17 years (%),0 to 5 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,18 to 64 years (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Moosehide Creek 2,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,65 years and over (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001031'>View boundary on map</a>,,6001031
2016,Mt. Lorne,,,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,0 to 17 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,0 to 17 years,0 to 5 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,18 to 64 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,65 years and over,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,,,In low income based on the Low-income measure; after tax (LIM-AT),0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income measure; after tax (LIM-AT),,0 to 17 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income measure; after tax (LIM-AT),0 to 17 years,0 to 5 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income measure; after tax (LIM-AT),,18 to 64 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income measure; after tax (LIM-AT),,65 years and over,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,,,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,0 to 17 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),0 to 17 years (%),0 to 5 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,18 to 64 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,65 years and over (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,,,In low income based on the Low-income cut-offs; after tax (LICO-AT),0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income cut-offs; after tax (LICO-AT),,0 to 17 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income cut-offs; after tax (LICO-AT),0 to 17 years,0 to 5 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income cut-offs; after tax (LICO-AT),,18 to 64 years,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,In low income based on the Low-income cut-offs; after tax (LICO-AT),,65 years and over,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,,,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,0 to 17 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),0 to 17 years (%),0 to 5 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,18 to 64 years (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Mt. Lorne,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,65 years and over (%),,,,...,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>,,6001044
2016,Old Crow,,,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
2016,Old Crow,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,0 to 17 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
2016,Old Crow,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,0 to 17 years,0 to 5 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
2016,Old Crow,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,18 to 64 years,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
2016,Old Crow,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,65 years and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
2016,Old Crow,,,In low income based on the Low-income measure; after tax (LIM-AT),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>,,6001043
